scenario,split,topk,metric,issue,ground_truth,intopk,empty
low_traffic,train,1,latency,0,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,3,latency,0,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,latency,1,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,3,latency,1,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,availability,2,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,3,availability,2,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,availability,3,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,3,availability,3,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,availability,4,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,3,availability,4,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,latency,5,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,3,latency,5,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,1,latency,6,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,3,latency,6,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,1,availability,7,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,3,availability,7,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,test,1,availability,0,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,3,availability,0,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,1,latency,1,payforadoption_AWS::ECS::Container,False,False
low_traffic,test,3,latency,1,payforadoption_AWS::ECS::Container,False,False
low_traffic,test,1,availability,2,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,3,availability,2,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,1,latency,3,payforadoption_AWS::ECS::Container,False,False
low_traffic,test,3,latency,3,payforadoption_AWS::ECS::Container,False,False
low_traffic,test,1,availability,4,payforadoption_AWS::ECS::Container,False,False
low_traffic,test,3,availability,4,payforadoption_AWS::ECS::Container,False,False
low_traffic,test,1,latency,5,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,3,latency,5,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,1,availability,6,petlistadoptions_AWS::ECS::Fargate,False,False
low_traffic,test,3,availability,6,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,1,latency,7,payforadoption_AWS::ECS::Container,False,False
low_traffic,test,3,latency,7,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,1,latency,8,petInfo_AWS::DynamoDB::Table,False,False
low_traffic,test,3,latency,8,petInfo_AWS::DynamoDB::Table,False,False
low_traffic,test,1,latency,9,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,3,latency,9,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,1,availability,10,payforadoption_AWS::ECS::Container,False,False
low_traffic,test,3,availability,10,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,1,availability,11,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,3,availability,11,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,1,latency,12,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,3,latency,12,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,1,latency,13,petInfo_AWS::DynamoDB::Table,False,False
low_traffic,test,3,latency,13,petInfo_AWS::DynamoDB::Table,False,False
low_traffic,test,1,availability,14,petlistadoptions_AWS::ECS::Fargate,False,False
low_traffic,test,3,availability,14,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,1,availability,15,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,3,availability,15,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,1,latency,16,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,3,latency,16,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,1,latency,17,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,3,latency,17,lambdastatusupdater_AWS::Lambda::Function,True,False
high_traffic,train,1,latency,0,PetSearch_AWS::ECS::Fargate,False,False
high_traffic,train,3,latency,0,PetSearch_AWS::ECS::Fargate,False,False
high_traffic,train,1,latency,1,PetSearch_AWS::ECS::Fargate,False,False
high_traffic,train,3,latency,1,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,1,availability,2,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,3,availability,2,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,1,availability,3,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,3,availability,3,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,1,availability,4,PetSearch_AWS::ECS::Fargate,False,False
high_traffic,train,3,availability,4,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,1,latency,5,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,3,latency,5,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,1,latency,6,PetSearch_AWS::ECS::Fargate,False,False
high_traffic,train,3,latency,6,PetSearch_AWS::ECS::Fargate,False,False
high_traffic,train,1,availability,7,PetSearch_AWS::ECS::Fargate,False,False
high_traffic,train,3,availability,7,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,test,1,availability,0,petlistadoptions_AWS::ECS::Fargate,True,False
